run ID,associated phenotype,pipeline,Archaea Euryarchaeota,Bacteria Acidobacteria,Bacteria Actinobacteria,Bacteria Bacteroidetes,Bacteria Chloroflexi,Bacteria Cyanobacteria,Bacteria Elusimicrobia,Bacteria Firmicutes,Bacteria Fusobacteria,Bacteria Lentisphaerae,Bacteria Nitrospirae,Bacteria Proteobacteria,Bacteria Spirochaetes,Bacteria Synergistetes,Bacteria Tenericutes,Bacteria Verrucomicrobia
SRR5983466,D003093,4.1,0.0,0.0,192.0,4054.0,1.0,0.0,0.0,3162.0,6.0,0.0,0.0,264.0,1.0,0.0,0.0,3.0
SRR5983467,D003424,4.1,0.0,0.0,52.0,2560.0,0.0,1.0,0.0,1760.0,1.0,0.0,0.0,102.0,0.0,0.0,0.0,3.0
SRR5983468,D003424,4.1,0.0,0.0,195.0,6637.0,0.0,5.0,0.0,5612.0,0.0,0.0,0.0,188.0,0.0,0.0,2.0,10.0
SRR5983469,D003424,4.1,0.0,4.0,65.0,7247.0,0.0,5.0,0.0,5328.0,2.0,73.0,0.0,326.0,1.0,2.0,3.0,8.0
SRR5983470,D003424,4.1,0.0,0.0,53.0,799.0,0.0,2.0,0.0,2354.0,1.0,0.0,0.0,258.0,0.0,0.0,1.0,6.0
SRR5983471,D003424,4.1,0.0,1.0,10.0,8149.0,0.0,0.0,0.0,2713.0,1.0,5.0,0.0,216.0,1.0,0.0,67.0,4.0
SRR5983472,D003424,4.1,0.0,2.0,225.0,1417.0,1.0,5.0,0.0,10494.0,7.0,0.0,0.0,1840.0,0.0,2.0,1.0,83.0
SRR5983473,D006262,4.1,0.0,1.0,606.0,14388.0,0.0,6.0,0.0,6396.0,1.0,0.0,0.0,462.0,0.0,0.0,0.0,298.0
SRR5983474,D003424,4.1,0.0,0.0,88.0,4297.0,0.0,0.0,0.0,1885.0,0.0,0.0,0.0,146.0,2.0,0.0,1.0,6.0
SRR5983475,D003424,4.1,0.0,0.0,32.0,4888.0,0.0,0.0,0.0,1343.0,0.0,0.0,0.0,302.0,0.0,0.0,0.0,5.0
SRR5983476,D006262,4.1,0.0,10.0,153.0,2628.0,1.0,2.0,0.0,4457.0,1.0,0.0,0.0,169.0,2.0,0.0,0.0,13.0
SRR5983477,D003424,4.1,0.0,4.0,502.0,8433.0,9.0,4.0,0.0,13270.0,4.0,0.0,0.0,1573.0,2.0,1.0,0.0,32.0
SRR5983478,D006262,4.1,0.0,0.0,171.0,13672.0,0.0,5.0,0.0,5218.0,0.0,0.0,0.0,128.0,2.0,0.0,0.0,48.0
SRR5983479,D003424,4.1,0.0,0.0,229.0,330.0,3.0,0.0,2.0,5615.0,4.0,0.0,0.0,275.0,0.0,2.0,0.0,2.0
SRR5983480,D003424,4.1,0.0,0.0,253.0,5022.0,9.0,2.0,0.0,8931.0,6.0,0.0,0.0,1332.0,0.0,0.0,2.0,130.0
SRR5983481,D006262,4.1,0.0,1.0,332.0,6260.0,0.0,0.0,0.0,3487.0,3.0,0.0,0.0,349.0,0.0,0.0,0.0,1956.0
SRR5983482,D006262,4.1,0.0,2.0,284.0,2641.0,6.0,4.0,0.0,10571.0,2.0,0.0,0.0,477.0,1.0,0.0,142.0,133.0
SRR5983483,D003093,4.1,0.0,0.0,604.0,1617.0,1.0,3.0,0.0,9920.0,5.0,0.0,0.0,183.0,0.0,0.0,0.0,14.0
SRR5983484,D006262,4.1,0.0,0.0,2.0,465.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRR5983485,D006262,4.1,0.0,0.0,482.0,4894.0,3.0,5.0,0.0,11584.0,1.0,0.0,0.0,805.0,2.0,0.0,0.0,173.0
ERR209057,D006262,3,0.0,0.0,1.0,22.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
ERR209058,D006262,3,0.0,0.0,1.0,47.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
ERR209060,D006262,3,0.0,0.0,5.0,292.0,0.0,0.0,0.0,667.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0
ERR209061,D006262,3,0.0,0.0,1.0,73.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
ERR209069,D006262,3,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR209070,D006262,3,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ERR209071,D006262,3,0.0,0.0,0.0,13.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR209072,D006262,3,0.0,0.0,1.0,16.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ERR209077,D006262,3,0.0,0.0,2.0,194.0,0.0,0.0,0.0,245.0,0.0,1.0,0.0,12.0,0.0,0.0,14.0,4.0
ERR209078,D006262,3,0.0,0.0,1.0,39.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
ERR209082,D006262,3,7.0,0.0,8.0,797.0,0.0,26.0,0.0,1282.0,0.0,9.0,0.0,86.0,0.0,0.0,31.0,21.0
ERR209083,D006262,3,0.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
ERR209084,D006262,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ERR209085,D006262,3,7.0,0.0,44.0,1006.0,0.0,0.0,0.0,2743.0,0.0,7.0,0.0,97.0,0.0,0.0,89.0,29.0
ERR209086,D006262,3,2.0,0.0,3.0,323.0,0.0,0.0,0.0,1026.0,0.0,0.0,0.0,17.0,0.0,0.0,52.0,8.0
ERR209087,D006262,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERR209088,D006262,3,14.0,0.0,27.0,1307.0,0.0,5.0,0.0,4123.0,0.0,8.0,0.0,105.0,0.0,0.0,175.0,50.0
