sample,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54,OTU55,OTU56,OTU57,OTU58,OTU59,OTU60,OTU61,OTU62,OTU63,OTU64,OTU65,OTU66,OTU67,OTU68,OTU69,OTU70,OTU71,OTU72,OTU73,OTU74,OTU75,OTU76,OTU77,OTU78,OTU79,OTU80,OTU81,OTU82,OTU83,OTU84,OTU85,OTU86,OTU87,OTU88,OTU89,OTU90,OTU91,OTU92,OTU93,OTU94,OTU95,OTU96
ERR1470830,0,7,0,0,0,110,0,0,695,0,0,0,1,0,6,0,0,0,0,0,1787,413,0,0,0,0,0,0,0,3610,0,2,4,17,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1512988,0,27,0,0,3,24,0,1,505,0,2,0,0,11,26,0,0,0,0,4,537,197,1,0,0,7,0,0,0,2340,0,24,11,14,0,14,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1512993,0,4,0,0,1,120,0,1,239,0,0,0,0,1,4,0,2,0,0,0,1541,207,0,0,0,0,0,0,3,2449,0,0,8,15,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1514429,0,3,0,0,0,143,0,1,298,0,0,0,0,1,3,0,3,0,0,0,2317,576,1,0,0,0,0,0,4,2880,0,2,8,34,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1525437,0,0,0,0,0,9,0,0,193,0,0,0,0,2,3,0,1,0,0,0,155,31,0,0,0,0,0,1,0,671,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1525438,0,6,0,0,0,41,0,0,244,0,0,0,1,0,3,0,1,0,0,0,777,151,1,0,0,1,0,0,1,2560,0,2,3,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1525440,0,4,0,0,3,97,0,0,238,0,0,0,1,0,4,0,4,0,0,0,901,73,1,0,0,1,0,0,0,2788,0,0,3,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1525444,0,0,0,0,0,37,0,0,633,0,0,0,0,0,2,0,2,0,0,0,1449,135,0,0,0,0,0,0,1,2065,0,0,2,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1512987,0,0,0,0,0,73,0,0,266,0,0,0,0,0,2,0,1,0,0,0,1178,277,1,0,0,0,0,0,2,3597,0,1,1,25,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1512998,0,1,0,0,3,48,0,0,195,0,0,0,0,0,5,0,0,0,0,0,770,238,0,0,0,0,0,0,3,3236,0,2,2,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
